"year","cont_text","pop","pop_yr","pop_pct"
2003,"full_rep",67122780,289539431,0.231826040992669
2004,"full_rep",68135425,292237544,0.233150826780833
2005,"full_rep",83322957,294949463,0.28249909714194
2006,"full_rep",84798749,297809231,0.284741842001533
2007,"full_rep",68109131,300656803,0.226534474924221
2008,"full_rep",69135596,303513730,0.227784080805834
2009,"full_rep",69758172,306179301,0.227834382573105
2010,"full_rep",70680614,308721861,0.228945931367005
2011,"full_rep",137712482,310963191,0.442857823645114
2012,"full_rep",146498570,313241925,0.467685064826492
2013,"full_rep",156926988,315408388,0.497535874030084
2014,"full_rep",158351865,317722726,0.498396406809125
2015,"full_rep",152177790,320061980,0.475463502412876
2016,"full_rep",153802447,322384179,0.47707814780824
2017,"full_rep",152384634,324425049,0.469706745732818
2018,"full_rep",155378776,326134052,0.476426104686548
2019,"full_rep",137206802,327621700,0.418796441139277
2020,"full_rep",133826356,328771307,0.407049986269027
2021,"full_rep",136273208,328771307,0.414492399727571
