district,lean_2016
PA-18,-27.5
RI-01,-25.6
RI-02,-7.1
SC-01,13.1
SC-02,17.7
SC-03,38
SC-04,25.7
SC-05,18.5
SC-06,-36.5
SC-07,18.9
SD-AL,29.8
TN-01,57
TN-02,35.4
TN-03,35.2
TN-04,41.2
TN-05,-18.3
TN-06,48.9
TN-07,39.3
TN-08,35.6
TN-09,-57.7
TX-01,46.9
TX-02,9.3
TX-03,14.2
TX-04,53.6
TX-05,28.4
TX-06,12.3
TX-07,-1.4
TX-08,48.8
TX-09,-61.3
TX-10,9.1
TX-11,58.7
TX-12,30.2
TX-13,63
TX-14,19.8
TX-15,-16.7
TX-16,-40.7
TX-17,17.5
TX-18,-56.5
TX-19,49
TX-20,-26.7
TX-21,10
TX-22,7.9
TX-23,-3.4
TX-24,6.2
TX-25,14.9
TX-26,26.5
TX-27,23.6
TX-28,-19.8
TX-29,-45.7
TX-30,-60.8
TX-31,12.7
TX-32,-1.9
TX-33,-49.2
TX-34,-21.5
TX-35,-33.6
TX-36,46.8
UT-01,27.3
UT-02,14
UT-03,23.9
UT-04,6.7
VA-01,12.4
VA-02,3.4
VA-03,-31.7
VA-04,-21.6
VA-05,11.1
VA-06,24.8
VA-07,6.5
VA-08,-52.6
VA-09,41.5
VA-10,-10
VA-11,-39.4
VT-AL,-26.4
WA-01,-16.3
WA-02,-22.1
WA-03,7.4
WA-04,22.8
WA-05,13.1
WA-06,-12.3
WA-07,-69.9
WA-08,-3
WA-09,-47.2
WA-10,-11.4
WI-01,10.3
WI-02,-36.8
WI-03,4.5
WI-04,-52.2
WI-05,20.1
WI-06,16.9
WI-07,20.4
WI-08,17.6
WV-01,41.6
WV-02,36.4
WV-03,49.2
WY-AL,47.6
