leaid,name,name_public,charter,city,county,zip,state,state_abbr,enroll,frl,minority,national_math,national_reading
2200300,CADDO PARISH,Caddo Parish,0,SHREVEPORT,CADDO,71130,Louisiana,LA,42610,0.63,0.67,0.34,0.36
626190,MOUNTAIN VIEW ELEMENTARY,Mountain View,0,EL MONTE,LOS ANGELES,91732,California,CA,8713,0.95,0.99,0.34,0.26
4700630,CLAIBORNE COUNTY SCHOOL DISTRICT,Claiborne County,0,TAZEWELL,CLAIBORNE,37879,Tennessee,TN,4850,0.67,0.02,0.34,0.41
2511130,SPRINGFIELD,Springfield,0,SPRINGFIELD,HAMPDEN,1102,Massachusetts,MA,25294,0.78,0.84,0.34,0.34
2314560,MSAD 59,MSAD 59,0,MADISON,SOMERSET,4950,Maine,ME,1011,0.58,0.03,0.34,0.43
4702070,JACKSON COUNTY SCHOOL DISTRICT,Jackson County,0,GAINESBORO,JACKSON,38562,Tennessee,TN,1608,0.71,0.02,0.34,0.45
103180,TALLADEGA COUNTY,Talladega County,0,TALLADEGA,TALLADEGA,35161,Alabama,AL,7832,0.7,0.4,0.34,0.41
638550,SUSANVILLE ELEMENTARY,Susanville,0,SUSANVILLE,LASSEN,96130,California,CA,1228,0.51,0.33,0.34,0.36
3618840,MCGRAW CENTRAL SCHOOL DISTRICT,McGraw,0,MCGRAW,CORTLAND,13101,New York,NY,580,0.46,0.03,0.34,0.41
618990,JOHN SWETT UNIFIED,John Swett Unified,0,CROCKETT,CONTRA COSTA,94525,California,CA,1708,0.5,0.77,0.34,0.34
2600213,NEW BEDFORD ACADEMY,New Bedford Academy,1,LAMBERTSVILLE,MONROE,48144,Michigan,MI,141,0.33,0.06,0.34,0.27
400185,PHOENIX EDUCATION MANAGEMENT  LLC,Phoenix Education,1,PHOENIX,MARICOPA,85040,Arizona,AZ,636,0.77,0.97,0.34,0.27
1800043,RURAL COMMUNITY SCHOOLS INC,Rural Community,1,GRAYSVILLE,SULLIVAN,47852,Indiana,IN,148,0.48,0.01,0.34,0.32
4028980,STRATFORD,Stratford,0,STRATFORD,GARVIN,74872,Oklahoma,OK,587,0.62,0.31,0.34,0.43
3702160,HERTFORD COUNTY SCHOOLS,Hertford County,0,WINTON,HERTFORD,27986,North Carolina,NC,3351,0.21,0.86,0.34,0.35
3501860,MORA INDEPENDENT SCHOOLS,Mora,0,MORA,MORA,87732,New Mexico,NM,546,0.97,0.93,0.34,0.34
633110,RIVER DELTA JOINT UNIFIED,River Delta Joint,0,RIO VISTA,SOLANO,94571,California,CA,2225,0.46,0.53,0.34,0.35
1301020,CHATHAM COUNTY,Chatham County,0,SAVANNAH,CHATHAM,31401,Georgia,GA,33994,0.62,0.75,0.34,0.38
612840,ESCALON UNIFIED,Escalon Unified,0,ESCALON,SAN JOAQUIN,95320,California,CA,3060,0.43,0.47,0.34,0.4
2608070,CARROLLTON SCHOOL DISTRICT,Carrollton,0,CARROLLTON,SAGINAW,48724,Michigan,MI,1810,0.65,0.47,0.34,0.31
618690,JAMESTOWN ELEMENTARY,Jamestown ,0,JAMESTOWN,TUOLUMNE,95327,California,CA,618,0.56,0.29,0.34,0.44
4008010,CLEORA,Cleora,0,AFTON,DELAWARE,74331,Oklahoma,OK,128,0.55,0.42,0.34,0.31
4800270,LA ACADEMIA DE ESTRELLAS,La Academia ,1,DALLAS,DALLAS,75208,Texas,TX,334,0.9,0.96,0.34,0.31
1740680,NORTH WAMAC SD 186,North Wamac,0,CENTRALIA,CLINTON,62801,Illinois,IL,121,0.84,0.2,0.34,0.39
804020,WELD COUNTY REORGANIZED SCHOOL DISTRICT NO. RE-8,Weld County,0,FORT LUPTON,WELD,80621,Colorado,CO,2428,0.56,0.67,0.34,0.37
3627810,EAST RAMAPO CENTRAL SCHOOL DISTRICT (SPRING VALLEY),East Ramapo,0,SPRING VALLEY,ROCKLAND,10977,New York,NY,7893,0.56,0.9,0.34,0.4
902790,NEW HAVEN SCHOOL DISTRICT,New Haven,0,NEW HAVEN,NEW HAVEN,6519,Connecticut,CT,19736,0.71,0.88,0.34,0.3
600042,WARNER UNIFIED,Warner Unified,0,WARNER SPRINGS,SAN DIEGO,92086,California,CA,266,0.67,0.68,0.34,0.35
604500,BELLEVIEW ELEMENTARY,Belleview Elementary,0,SONORA,TUOLUMNE,95370,California,CA,131,0.5,0.11,0.34,0.49
2311580,MSAD 41,MSAD 41,0,MILO,PISCATAQUIS,4463,Maine,ME,697,0.62,,0.34,0.36
1931110,WEST MONONA COMMUNITY SCHOOL DISTRICT,West Monona,0,ONAWA,MONONA,51040,Iowa,IA,647,0.41,0.04,0.34,0.38
4004830,BLUEJACKET,Bluejacket,0,BLUEJACKET,CRAIG,74333,Oklahoma,OK,210,0.68,0.52,0.34,0.36
606540,BURREL UNION ELEMENTARY,Burrel Union,0,BURREL,FRESNO,93656,California,CA,107,0.89,0.94,0.34,0.18
3904843,RIDGEDALE LOCAL,Ridgedale,0,MORRAL,MARION,43337,Ohio,OH,833,0.34,0.04,0.34,0.43
3613590,HANNIBAL CENTRAL SCHOOL DISTRICT,Hannibal,0,HANNIBAL,OSWEGO,13074,New York,NY,1602,0.48,0.04,0.34,0.45
629670,PALO VERDE UNION ELEMENTARY,Palo Verde Union,0,TULARE,TULARE,93274,California,CA,549,0.76,0.79,0.34,0.33
