district,rlean_2018,rlean_2020
ND-1,33.68,33.96
NE-1,19.83,20.65
NE-2,3.9,4.75
NE-3,50.8,51.41
NH-1,4.37,3.31
NH-2,-1,-2.06
NJ-1,-24.81,-22.25
NJ-10,-71.78,-69.68
NJ-11,4.49,7.09
NJ-12,-31.54,-29.02
NJ-2,2.32,4.93
NJ-3,4.56,7.16
NJ-4,14.99,17.57
NJ-5,3.69,6.29
NJ-6,-16.44,-13.86
NJ-7,3.29,5.89
NJ-8,-53.34,-51
NJ-9,-31.38,-28.85
NM-1,-14.53,-15.32
NM-2,10.77,9.97
NM-3,-14.63,-15.42
NV-1,-25.27,-25.86
NV-2,16.03,15.42
NV-3,5.53,4.91
NV-4,-1.7,-2.32
NY-1,10.44,9.96
NY-10,-53.46,-53.71
NY-11,7.51,7.02
NY-12,-62.59,-62.75
NY-13,-85.52,-85.36
NY-14,-56.99,-57.21
NY-15,-88.09,-87.88
NY-16,-48.72,-49.02
NY-17,-16.16,-16.63
NY-18,2.24,1.75
NY-19,4.88,4.39
NY-2,7.01,6.52
NY-20,-13.39,-13.87
NY-21,9.64,9.16
NY-22,12.88,12.4
NY-23,12.68,12.2
NY-24,-5.29,-5.78
NY-25,-14.99,-15.46
NY-26,-20.52,-20.98
NY-27,22.88,22.43
NY-3,-2.52,-3.01
NY-4,-8.49,-8.97
NY-5,-73.42,-73.45
NY-6,-31.86,-32.27
NY-7,-74.62,-74.63
NY-8,-71.39,-71.45
NY-9,-67.49,-67.6
OH-1,9.42,8.11
OH-10,8.48,7.17
OH-11,-61.42,-62.22
OH-12,14.02,12.72
OH-13,-10.52,-11.82
OH-14,11.75,10.45
OH-15,15.12,13.83
OH-16,16.85,15.57
OH-2,17.38,16.1
OH-3,-36.22,-37.36
OH-4,30.05,28.85
OH-5,22.98,21.73
OH-6,35.55,34.39
OH-7,25.95,24.72
OH-8,34.48,33.32
OH-9,-24.05,-25.29
OK-1,28.1,27.7
OK-2,43.7,43.31
OK-3,49.5,49.12
OK-4,34.76,34.37
OK-5,13.5,13.09
OR-1,-18.35,-17.13
OR-2,21.45,22.65
OR-3,-45.28,-44.23
OR-4,0.32,1.57
OR-5,-1.32,-0.07
PA-1,0.68,0.86
PA-10,10.68,10.87
PA-11,27.24,27.45
PA-12,35.04,35.26
PA-13,44.51,44.74
PA-14,27.78,27.98
PA-15,40.38,40.6
PA-16,17.48,17.67
PA-17,5.78,5.96
PA-18,-25.22,-25.02
PA-2,-47.99,-47.76
PA-3,-81.42,-81.09
PA-4,-14.76,-14.57
PA-5,-25.49,-25.29
PA-6,-4.72,-4.54
PA-7,-0.52,-0.34
PA-8,4.98,5.16
PA-9,30.54,30.75
RI-1,-34.62,-33.03
RI-2,-18.12,-16.57
SC-1,18.95,18.04
SC-2,22.55,21.64
SC-3,39.72,38.79
SC-4,29.99,29.07
SC-5,20.35,19.44
SC-6,-34.41,-35.34
SC-7,20.15,19.24
SD-1,30.6,28.19
TN-1,57.66,57.23
TN-2,39.72,39.22
TN-3,36.86,36.34
TN-4,42.19,41.69
TN-5,-12.68,-13.24
TN-6,49.79,49.32
TN-7,41.12,40.62
TN-8,38.79,38.28
TN-9,-53.64,-54.09
TX-1,51.65,51.44
TX-10,18.51,18.54
TX-11,64.68,64.32
TX-12,37.51,37.44
TX-13,68.25,67.83
TX-14,25.48,25.48
TX-15,-10.75,-10.71
TX-16,-31.35,-31.4
TX-17,24.91,24.91
TX-18,-49.75,-49.95
TX-19,54.55,54.31
TX-2,20.98,21
TX-20,-18.52,-18.5
TX-21,19.65,19.67
TX-22,19.41,19.44
TX-23,4.28,4.34
TX-24,17.28,17.31
TX-25,22.98,22.99
TX-26,35.65,35.58
TX-27,28.85,28.83
TX-28,-14.72,-14.69
TX-29,-35.75,-35.83
TX-3,25.18,25.18
TX-30,-54.85,-55.11
TX-31,21.25,21.26
TX-32,9.58,9.63
TX-33,-42.09,-42.21
TX-34,-16.15,-16.12
TX-35,-26.19,-26.2
TX-36,52.71,52.5
TX-4,57.81,57.54
TX-5,34.65,34.59
TX-6,19.58,19.6
TX-7,11.85,11.89
TX-8,56.65,56.39
TX-9,-54.15,-54.4
UT-1,40.52,39.4
UT-2,25.58,24.44
UT-3,38.85,37.73
UT-4,20.12,18.96
VA-1,16.99,9.91
VA-10,-1.55,-8.67
VA-11,-30.25,-36.89
VA-2,7.79,0.65
VA-3,-28.48,-35.18
VA-4,-16.91,-23.87
VA-5,14.35,7.25
VA-6,27.72,20.8
VA-7,12.59,5.47
VA-8,-42.58,-48.81
VA-9,41.82,35.26
VT-1,-24.2,-23.93
WA-1,-10.67,-14.44
WA-10,-8.87,-12.65
WA-2,-18.01,-21.71
WA-3,9.29,5.5
WA-4,26.26,22.61
WA-5,15.79,12.04
WA-6,-9.37,-13.15
WA-7,-63.17,-65.78
WA-8,1.26,-2.55
WA-9,-40.57,-43.88
WI-1,11.49,12.84
WI-2,-33.91,-32.59
WI-3,2.56,3.91
WI-4,-48.74,-47.46
WI-5,24.49,25.82
WI-6,16.93,18.27
WI-7,17.86,19.2
WI-8,16.19,17.54
WV-1,30.43,33.3
WV-2,25.39,28.32
WV-3,37.33,40.11
WY-1,48.35,44.56
