district,state_abbr,state_name,district_number,state_total,state_x,state_y,offset_x,offset_y,col,row,rlean
GA-3,GA,Georgia,3,14,0.75,0.68,0,0,1,1,38.53
GA-4,GA,Georgia,4,14,0.75,0.68,0,0,1,1,-44.91
GA-5,GA,Georgia,5,14,0.75,0.68,0,0,1,1,-64.96
GA-6,GA,Georgia,6,14,0.75,0.68,0,0,1,1,15.48
GA-7,GA,Georgia,7,14,0.75,0.68,0,0,1,1,18.2
GA-8,GA,Georgia,8,14,0.75,0.68,0,0,1,1,33.91
GA-9,GA,Georgia,9,14,0.75,0.68,0,0,1,1,64.43
HI-1,HI,Hawaii,1,2,0.32,0.9,0,0,1,1,-35.73
HI-2,HI,Hawaii,2,2,0.32,0.9,0,0,1,1,-36.52
IA-1,IA,Iowa,1,4,0.54,0.35,0,0,1,1,2.84
IA-2,IA,Iowa,2,4,0.54,0.35,0,0,1,1,3.44
IA-3,IA,Iowa,3,4,0.54,0.35,0,0,1,1,6
IA-4,IA,Iowa,4,4,0.54,0.35,0,0,1,1,25.87
ID-1,ID,Idaho,1,2,0.2,0.22,0,0,1,1,37.21
ID-2,ID,Idaho,2,2,0.2,0.22,0,0,1,1,27.6
IL-1,IL,Illinois,1,18,0.62,0.41,0,0,1,1,-51.46
IL-10,IL,Illinois,10,18,0.62,0.41,0,0,1,1,-21.12
IL-11,IL,Illinois,11,18,0.62,0.41,0,0,1,1,-17.47
IL-12,IL,Illinois,12,18,0.62,0.41,0,0,1,1,13.26
IL-13,IL,Illinois,13,18,0.62,0.41,0,0,1,1,7.68
IL-14,IL,Illinois,14,18,0.62,0.41,0,0,1,1,9.85
IL-15,IL,Illinois,15,18,0.62,0.41,0,0,1,1,44.8
IL-16,IL,Illinois,16,18,0.62,0.41,0,0,1,1,17.97
IL-17,IL,Illinois,17,18,0.62,0.41,0,0,1,1,-1.29
IL-18,IL,Illinois,18,18,0.62,0.41,0,0,1,1,29.95
IL-2,IL,Illinois,2,18,0.62,0.41,0,0,1,1,-55.86
IL-3,IL,Illinois,3,18,0.62,0.41,0,0,1,1,-10.71
IL-4,IL,Illinois,4,18,0.62,0.41,0,0,1,1,-62.99
IL-5,IL,Illinois,5,18,0.62,0.41,0,0,1,1,-38.45
IL-6,IL,Illinois,6,18,0.62,0.41,0,0,1,1,1.98
IL-7,IL,Illinois,7,18,0.62,0.41,0,0,1,1,-72.94
IL-8,IL,Illinois,8,18,0.62,0.41,0,0,1,1,-16.04
IL-9,IL,Illinois,9,18,0.62,0.41,0,0,1,1,-36.69
IN-1,IN,Indiana,1,9,0.67,0.42,0,0,1,1,-15.27
IN-2,IN,Indiana,2,9,0.67,0.42,0,0,1,1,21.23
IN-3,IN,Indiana,3,9,0.67,0.42,0,0,1,1,33.43
IN-4,IN,Indiana,4,9,0.67,0.42,0,0,1,1,31.89
IN-5,IN,Indiana,5,9,0.67,0.42,0,0,1,1,14.53
IN-6,IN,Indiana,6,9,0.67,0.42,0,0,1,1,35.75
IN-7,IN,Indiana,7,9,0.67,0.42,0,0,1,1,-23.3
IN-8,IN,Indiana,8,9,0.67,0.42,0,0,1,1,29.87
IN-9,IN,Indiana,9,9,0.67,0.42,0,0,1,1,24.54
KS-1,KS,Kansas,1,4,0.46,0.49,0,0,1,1,44.54
KS-2,KS,Kansas,2,4,0.46,0.49,0,0,1,1,16.9
KS-3,KS,Kansas,3,4,0.46,0.49,0,0,1,1,2.58
KS-4,KS,Kansas,4,4,0.46,0.49,0,0,1,1,26.91
KY-1,KY,Kentucky,1,6,0.7,0.5,0,0,1,1,39.94
KY-2,KY,Kentucky,2,6,0.7,0.5,0,0,1,1,32.17
KY-3,KY,Kentucky,3,6,0.7,0.5,0,0,1,1,-18.14
KY-4,KY,Kentucky,4,6,0.7,0.5,0,0,1,1,29.63
KY-5,KY,Kentucky,5,6,0.7,0.5,0,0,1,1,54.86
KY-6,KY,Kentucky,6,6,0.7,0.5,0,0,1,1,10.89
LA-1,LA,Louisiana,1,6,0.57,0.77,0,0,1,1,42.91
LA-2,LA,Louisiana,2,6,0.57,0.77,0,0,1,1,-52.44
LA-3,LA,Louisiana,3,6,0.57,0.77,0,0,1,1,36.95
LA-4,LA,Louisiana,4,6,0.57,0.77,0,0,1,1,22.78
LA-5,LA,Louisiana,5,6,0.57,0.77,0,0,1,1,27.69
LA-6,LA,Louisiana,6,6,0.57,0.77,0,0,1,1,34.19
MA-1,MA,Massachusetts,1,9,0.91,0.255,0,0,1,1,-20.85
MA-2,MA,Massachusetts,2,9,0.91,0.255,0,0,1,1,-16.57
MA-3,MA,Massachusetts,3,9,0.91,0.255,0,0,1,1,-17.51
MA-4,MA,Massachusetts,4,9,0.91,0.255,0,0,1,1,-18.58
MA-5,MA,Massachusetts,5,9,0.91,0.255,0,0,1,1,-36.97
MA-6,MA,Massachusetts,6,9,0.91,0.255,0,0,1,1,-12.66
MA-7,MA,Massachusetts,7,9,0.91,0.255,0,0,1,1,-67.85
MA-8,MA,Massachusetts,8,9,0.91,0.255,0,0,1,1,-20.15
MA-9,MA,Massachusetts,9,9,0.91,0.255,0,0,1,1,-8.39
MD-1,MD,Maryland,1,8,0.845,0.405,0,0,1,1,29.89
MD-2,MD,Maryland,2,8,0.845,0.405,0,0,1,1,-22.37
MD-3,MD,Maryland,3,8,0.845,0.405,0,0,1,1,-24.94
MD-4,MD,Maryland,4,8,0.845,0.405,0,0,1,1,-54.17
MD-5,MD,Maryland,5,8,0.845,0.405,0,0,1,1,-29.31
MD-6,MD,Maryland,6,8,0.845,0.405,0,0,1,1,-10.94
MD-7,MD,Maryland,7,8,0.845,0.405,0,0,1,1,-51.77
MD-8,MD,Maryland,8,8,0.845,0.405,0,0,1,1,-28.34
ME-1,ME,Maine,1,2,0.93,0.14,0,0,1,1,-12.99
ME-2,ME,Maine,2,2,0.93,0.14,0,0,1,1,8.03
MI-1,MI,Michigan,1,14,0.68,0.27,0,0,1,1,14.29
MI-10,MI,Michigan,10,14,0.68,0.27,0,0,1,1,22.77
MI-11,MI,Michigan,11,14,0.68,0.27,0,0,1,1,1.97
MI-12,MI,Michigan,12,14,0.68,0.27,0,0,1,1,-31.14
MI-13,MI,Michigan,13,14,0.68,0.27,0,0,1,1,-65.39
MI-14,MI,Michigan,14,14,0.68,0.27,0,0,1,1,-62.81
MI-2,MI,Michigan,2,14,0.68,0.27,0,0,1,1,13.34
MI-3,MI,Michigan,3,14,0.68,0.27,0,0,1,1,5.95
MI-4,MI,Michigan,4,14,0.68,0.27,0,0,1,1,16.55
MI-5,MI,Michigan,5,14,0.68,0.27,0,0,1,1,-13
MI-6,MI,Michigan,6,14,0.68,0.27,0,0,1,1,3.31
MI-7,MI,Michigan,7,14,0.68,0.27,0,0,1,1,9.64
MI-8,MI,Michigan,8,14,0.68,0.27,0,0,1,1,2.74
MI-9,MI,Michigan,9,14,0.68,0.27,0,0,1,1,-13.03
MN-1,MN,Minnesota,1,8,0.53,0.19,0,0,1,1,11.58
MN-2,MN,Minnesota,2,8,0.53,0.19,0,0,1,1,2.89
MN-3,MN,Minnesota,3,8,0.53,0.19,0,0,1,1,-4.41
MN-4,MN,Minnesota,4,8,0.53,0.19,0,0,1,1,-27.51
MN-5,MN,Minnesota,5,8,0.53,0.19,0,0,1,1,-51.31
MN-6,MN,Minnesota,6,8,0.53,0.19,0,0,1,1,24.23
MN-7,MN,Minnesota,7,8,0.53,0.19,0,0,1,1,25.89
MN-8,MN,Minnesota,8,8,0.53,0.19,0,0,1,1,10.68
MO-1,MO,Missouri,1,8,0.56,0.49,0,0,1,1,-54.27
MO-2,MO,Missouri,2,8,0.56,0.49,0,0,1,1,17.46
MO-3,MO,Missouri,3,8,0.56,0.49,0,0,1,1,39.78
MO-4,MO,Missouri,4,8,0.56,0.49,0,0,1,1,37.44
MO-5,MO,Missouri,5,8,0.56,0.49,0,0,1,1,-10.11
MO-6,MO,Missouri,6,8,0.56,0.49,0,0,1,1,33.52
MO-7,MO,Missouri,7,8,0.56,0.49,0,0,1,1,47.92
MO-8,MO,Missouri,8,8,0.56,0.49,0,0,1,1,52.5
MS-1,MS,Mississippi,1,4,0.62,0.69,0,0,1,1,29.32
MS-2,MS,Mississippi,2,4,0.62,0.69,0,0,1,1,-31.11
MS-3,MS,Mississippi,3,4,0.62,0.69,0,0,1,1,22.28
MS-4,MS,Mississippi,4,4,0.62,0.69,0,0,1,1,38.7
MT-1,MT,Montana,1,1,0.29,0.15,0,0,1,1,18.36
NC-1,NC,North Carolina,1,13,0.805,0.55,0,0,1,1,-11.44
NC-10,NC,North Carolina,10,13,0.805,0.55,0,0,1,1,36.71
NC-11,NC,North Carolina,11,13,0.805,0.55,0,0,1,1,16.31
NC-12,NC,North Carolina,12,13,0.805,0.55,0,0,1,1,-35.63
NC-13,NC,North Carolina,13,13,0.805,0.55,0,0,1,1,35.27
NC-2,NC,North Carolina,2,13,0.805,0.55,0,0,1,1,-20.48
NC-3,NC,North Carolina,3,13,0.805,0.55,0,0,1,1,23.25
NC-4,NC,North Carolina,4,13,0.805,0.55,0,0,1,1,-30.42
NC-5,NC,North Carolina,5,13,0.805,0.55,0,0,1,1,34.65
NC-6,NC,North Carolina,6,13,0.805,0.55,0,0,1,1,-19.34
NC-7,NC,North Carolina,7,13,0.805,0.55,0,0,1,1,19.29
NC-8,NC,North Carolina,8,13,0.805,0.55,0,0,1,1,8.45
NC-9,NC,North Carolina,9,13,0.805,0.55,0,0,1,1,11.45
ND-1,ND,North Dakota,1,1,0.43,0.15,0,0,1,1,33.96
NE-1,NE,Nebraska,1,3,0.44,0.38,0,0,1,1,20.65
NE-2,NE,Nebraska,2,3,0.44,0.38,0,0,1,1,4.75
NE-3,NE,Nebraska,3,3,0.44,0.38,0,0,1,1,51.41
NH-1,NH,New Hampshire,1,2,0.903,0.22,0,0,1,1,3.31
NH-2,NH,New Hampshire,2,2,0.903,0.22,0,0,1,1,-2.06
NJ-1,NJ,New Jersey,1,12,0.875,0.363,0,0,1,1,-22.25
NJ-10,NJ,New Jersey,10,12,0.875,0.363,0,0,1,1,-69.68
NJ-11,NJ,New Jersey,11,12,0.875,0.363,0,0,1,1,7.09
NJ-12,NJ,New Jersey,12,12,0.875,0.363,0,0,1,1,-29.02
NJ-2,NJ,New Jersey,2,12,0.875,0.363,0,0,1,1,4.93
NJ-3,NJ,New Jersey,3,12,0.875,0.363,0,0,1,1,7.16
NJ-4,NJ,New Jersey,4,12,0.875,0.363,0,0,1,1,17.57
NJ-5,NJ,New Jersey,5,12,0.875,0.363,0,0,1,1,6.29
NJ-6,NJ,New Jersey,6,12,0.875,0.363,0,0,1,1,-13.86
NJ-7,NJ,New Jersey,7,12,0.875,0.363,0,0,1,1,5.89
NJ-8,NJ,New Jersey,8,12,0.875,0.363,0,0,1,1,-51
NJ-9,NJ,New Jersey,9,12,0.875,0.363,0,0,1,1,-28.85
NM-1,NM,New Mexico,1,3,0.31,0.63,0,0,1,1,-15.32
NM-2,NM,New Mexico,2,3,0.31,0.63,0,0,1,1,9.97
NM-3,NM,New Mexico,3,3,0.31,0.63,0,0,1,1,-15.42
NV-1,NV,Nevada,1,4,0.14,0.41,0,0,1,1,-25.86
NV-2,NV,Nevada,2,4,0.14,0.41,0,0,1,1,15.42
NV-3,NV,Nevada,3,4,0.14,0.41,0,0,1,1,4.91
NV-4,NV,Nevada,4,4,0.14,0.41,0,0,1,1,-2.32
NY-1,NY,New York,1,27,0.85,0.27,0,0,1,1,9.96
NY-10,NY,New York,10,27,0.85,0.27,0,0,1,1,-53.71
NY-11,NY,New York,11,27,0.85,0.27,0,0,1,1,7.02
NY-12,NY,New York,12,27,0.85,0.27,0,0,1,1,-62.75
NY-13,NY,New York,13,27,0.85,0.27,0,0,1,1,-85.36
NY-14,NY,New York,14,27,0.85,0.27,0,0,1,1,-57.21
NY-15,NY,New York,15,27,0.85,0.27,0,0,1,1,-87.88
NY-16,NY,New York,16,27,0.85,0.27,0,0,1,1,-49.02
NY-17,NY,New York,17,27,0.85,0.27,0,0,1,1,-16.63
NY-18,NY,New York,18,27,0.85,0.27,0,0,1,1,1.75
NY-19,NY,New York,19,27,0.85,0.27,0,0,1,1,4.39
NY-2,NY,New York,2,27,0.85,0.27,0,0,1,1,6.52
NY-20,NY,New York,20,27,0.85,0.27,0,0,1,1,-13.87
NY-21,NY,New York,21,27,0.85,0.27,0,0,1,1,9.16
NY-22,NY,New York,22,27,0.85,0.27,0,0,1,1,12.4
NY-23,NY,New York,23,27,0.85,0.27,0,0,1,1,12.2
NY-24,NY,New York,24,27,0.85,0.27,0,0,1,1,-5.78
NY-25,NY,New York,25,27,0.85,0.27,0,0,1,1,-15.46
NY-26,NY,New York,26,27,0.85,0.27,0,0,1,1,-20.98
NY-27,NY,New York,27,27,0.85,0.27,0,0,1,1,22.43
NY-3,NY,New York,3,27,0.85,0.27,0,0,1,1,-3.01
NY-4,NY,New York,4,27,0.85,0.27,0,0,1,1,-8.97
NY-5,NY,New York,5,27,0.85,0.27,0,0,1,1,-73.45
NY-6,NY,New York,6,27,0.85,0.27,0,0,1,1,-32.27
NY-7,NY,New York,7,27,0.85,0.27,0,0,1,1,-74.63
NY-8,NY,New York,8,27,0.85,0.27,0,0,1,1,-71.45
NY-9,NY,New York,9,27,0.85,0.27,0,0,1,1,-67.6
OH-1,OH,Ohio,1,16,0.73,0.395,0,0,1,1,8.11
OH-10,OH,Ohio,10,16,0.73,0.395,0,0,1,1,7.17
OH-11,OH,Ohio,11,16,0.73,0.395,0,0,1,1,-62.22
OH-12,OH,Ohio,12,16,0.73,0.395,0,0,1,1,12.72
OH-13,OH,Ohio,13,16,0.73,0.395,0,0,1,1,-11.82
OH-14,OH,Ohio,14,16,0.73,0.395,0,0,1,1,10.45
OH-15,OH,Ohio,15,16,0.73,0.395,0,0,1,1,13.83
OH-16,OH,Ohio,16,16,0.73,0.395,0,0,1,1,15.57
OH-2,OH,Ohio,2,16,0.73,0.395,0,0,1,1,16.1
OH-3,OH,Ohio,3,16,0.73,0.395,0,0,1,1,-37.36
OH-4,OH,Ohio,4,16,0.73,0.395,0,0,1,1,28.85
OH-5,OH,Ohio,5,16,0.73,0.395,0,0,1,1,21.73
OH-6,OH,Ohio,6,16,0.73,0.395,0,0,1,1,34.39
OH-7,OH,Ohio,7,16,0.73,0.395,0,0,1,1,24.72
OH-8,OH,Ohio,8,16,0.73,0.395,0,0,1,1,33.32
OH-9,OH,Ohio,9,16,0.73,0.395,0,0,1,1,-25.29
OK-1,OK,Oklahoma,1,5,0.47,0.59,0,0,1,1,27.7
OK-2,OK,Oklahoma,2,5,0.47,0.59,0,0,1,1,43.31
OK-3,OK,Oklahoma,3,5,0.47,0.59,0,0,1,1,49.12
OK-4,OK,Oklahoma,4,5,0.47,0.59,0,0,1,1,34.37
OK-5,OK,Oklahoma,5,5,0.47,0.59,0,0,1,1,13.09
OR-1,OR,Oregon,1,5,0.1,0.2,0,0,1,1,-17.13
OR-2,OR,Oregon,2,5,0.1,0.2,0,0,1,1,22.65
OR-3,OR,Oregon,3,5,0.1,0.2,0,0,1,1,-44.23
OR-4,OR,Oregon,4,5,0.1,0.2,0,0,1,1,1.57
OR-5,OR,Oregon,5,5,0.1,0.2,0,0,1,1,-0.07
PA-1,PA,Pennsylvania,1,18,0.81,0.35,0,0,1,1,0.86
PA-10,PA,Pennsylvania,10,18,0.81,0.35,0,0,1,1,10.87
PA-11,PA,Pennsylvania,11,18,0.81,0.35,0,0,1,1,27.45
PA-12,PA,Pennsylvania,12,18,0.81,0.35,0,0,1,1,35.26
PA-13,PA,Pennsylvania,13,18,0.81,0.35,0,0,1,1,44.74
PA-14,PA,Pennsylvania,14,18,0.81,0.35,0,0,1,1,27.98
PA-15,PA,Pennsylvania,15,18,0.81,0.35,0,0,1,1,40.6
PA-16,PA,Pennsylvania,16,18,0.81,0.35,0,0,1,1,17.67
PA-17,PA,Pennsylvania,17,18,0.81,0.35,0,0,1,1,5.96
PA-18,PA,Pennsylvania,18,18,0.81,0.35,0,0,1,1,-25.02
PA-2,PA,Pennsylvania,2,18,0.81,0.35,0,0,1,1,-47.76
PA-3,PA,Pennsylvania,3,18,0.81,0.35,0,0,1,1,-81.09
PA-4,PA,Pennsylvania,4,18,0.81,0.35,0,0,1,1,-14.57
PA-5,PA,Pennsylvania,5,18,0.81,0.35,0,0,1,1,-25.29
PA-6,PA,Pennsylvania,6,18,0.81,0.35,0,0,1,1,-4.54
PA-7,PA,Pennsylvania,7,18,0.81,0.35,0,0,1,1,-0.34
PA-8,PA,Pennsylvania,8,18,0.81,0.35,0,0,1,1,5.16
PA-9,PA,Pennsylvania,9,18,0.81,0.35,0,0,1,1,30.75
RI-1,RI,Rhode Island,1,2,0.915,0.285,0,0,1,1,-33.03
RI-2,RI,Rhode Island,2,2,0.915,0.285,0,0,1,1,-16.57
SC-1,SC,South Carolina,1,7,0.79,0.62,0,0,1,1,18.04
SC-2,SC,South Carolina,2,7,0.79,0.62,0,0,1,1,21.64
SC-3,SC,South Carolina,3,7,0.79,0.62,0,0,1,1,38.79
SC-4,SC,South Carolina,4,7,0.79,0.62,0,0,1,1,29.07
SC-5,SC,South Carolina,5,7,0.79,0.62,0,0,1,1,19.44
SC-6,SC,South Carolina,6,7,0.79,0.62,0,0,1,1,-35.34
SC-7,SC,South Carolina,7,7,0.79,0.62,0,0,1,1,19.24
SD-1,SD,South Dakota,1,1,0.43,0.265,0,0,1,1,28.19
TN-1,TN,Tennessee,1,9,0.68,0.575,0,0,1,1,57.23
TN-2,TN,Tennessee,2,9,0.68,0.575,0,0,1,1,39.22
TN-3,TN,Tennessee,3,9,0.68,0.575,0,0,1,1,36.34
TN-4,TN,Tennessee,4,9,0.68,0.575,0,0,1,1,41.69
TN-5,TN,Tennessee,5,9,0.68,0.575,0,0,1,1,-13.24
TN-6,TN,Tennessee,6,9,0.68,0.575,0,0,1,1,49.32
TN-7,TN,Tennessee,7,9,0.68,0.575,0,0,1,1,40.62
TN-8,TN,Tennessee,8,9,0.68,0.575,0,0,1,1,38.28
TN-9,TN,Tennessee,9,9,0.68,0.575,0,0,1,1,-54.09
TX-1,TX,Texas,1,36,0.44,0.74,0,0,1,1,51.44
TX-10,TX,Texas,10,36,0.44,0.74,0,0,1,1,18.54
TX-11,TX,Texas,11,36,0.44,0.74,0,0,1,1,64.32
TX-12,TX,Texas,12,36,0.44,0.74,0,0,1,1,37.44
TX-13,TX,Texas,13,36,0.44,0.74,0,0,1,1,67.83
TX-14,TX,Texas,14,36,0.44,0.74,0,0,1,1,25.48
TX-15,TX,Texas,15,36,0.44,0.74,0,0,1,1,-10.71
TX-16,TX,Texas,16,36,0.44,0.74,0,0,1,1,-31.4
TX-17,TX,Texas,17,36,0.44,0.74,0,0,1,1,24.91
TX-18,TX,Texas,18,36,0.44,0.74,0,0,1,1,-49.95
